Source,Target
Beisen.PlatformServices.ServiceImp.dll,Beisen.PlatformServices.ServiceInterface.dll
Beisen.PlatformServices.ServiceImp.dll,Beisen.DataRelay.Contract.dll
Beisen.PlatformServices.ServiceImp.dll,MySpace.Shared.dll
Beisen.PlatformServices.ServiceImp.dll,Beisen.Logging.dll
Beisen.PlatformServices.ServiceImp.dll,Beisen.Queue.dll
Beisen.PlatformServices.ServiceImp.dll,Beisen.Data.dll
Beisen.PlatformServices.ServiceImp.dll,Beisen.Common.dll
Beisen.PlatformServices.ServiceImp.dll,LumiSoft.Net.dll
Beisen.PlatformServices.ServiceImp.dll,MySpace.DataRelay.Client.dll
Beisen.PlatformServices.ServiceImp.dll,MySpace.DataRelay.Common.dll
Beisen.PlatformServices.ServiceImp.dll,Beisen.BeisenUser.ServiceInterface.dll
Beisen.PlatformServices.ServiceImp.dll,Beisen.BeisenUser.ServiceImp.dll
Beisen.PlatformServices.ServiceImp.dll,Interop.HBSMSATLLib.dll
